Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
64,0.764019,2.33049,1.13251,0.970024,-0.000151291,0,0.970024,0.26845,-0.0569675,0,0.274428,0.68588,-0.701161,0.897727,1.26963,-0.00019802,0,1.26963
65,0.761432,2.32345,1.13597,0.969067,-0.00636615,0,0.969088,0.25457,-0.0569218,0,0.260856,0.682705,-0.708249,0.896606,1.27269,-0.00836076,0,1.27272
66,0.765519,2.33423,1.12915,0.969543,-0.0129811,0,0.96963,0.24094,-0.0567868,0,0.247542,0.68806,-0.696295,0.898815,1.26652,-0.0169573,0,1.26663
67,0.768592,2.34239,1.12427,0.96996,-0.020025,0,0.970166,0.22757,-0.0565603,0,0.234493,0.692035,-0.687422,0.900393,1.26199,-0.0260541,0,1.26226
68,0.770191,2.34671,1.12204,0.970256,-0.02753,0,0.970647,0.21447,-0.0562403,0,0.221721,0.694028,-0.682972,0.901112,1.25976,-0.0357444,0,1.26027
69,0.771815,2.35107,1.11971,0.970426,-0.0355387,0,0.971077,0.20166,-0.0558252,0,0.209244,0.696073,-0.678408,0.901865,1.25733,-0.0460456,0,1.25817
70,0.774421,2.35807,1.11594,0.970731,-0.0441013,0,0.971732,0.18914,-0.0553127,0,0.197062,0.699365,-0.67106,0.903081,1.25349,-0.0569474,0,1.25479
71,0.77821,2.36822,1.11041,0.971142,-0.0532771,0,0.972602,0.17693,-0.0547016,0,0.185193,0.704177,-0.660319,0.904868,1.24792,-0.068461,0,1.24979
72,0.782979,2.38098,1.10346,0.971596,-0.0631193,0,0.973644,0.16504,-0.0539906,0,0.173647,0.710245,-0.646775,0.907105,1.2409,-0.0806143,0,1.24351
73,0.788243,2.39504,1.09578,0.971899,-0.0736848,0,0.974689,0.15349,-0.0531789,0,0.162441,0.716968,-0.631769,0.909577,1.233,-0.0934799,0,1.23653
74,0.793773,2.4098,1.08776,0.972009,-0.0850463,0,0.975722,0.14229,-0.0522658,0,0.151585,0.724043,-0.615976,0.912153,1.22454,-0.107142,0,1.22922
75,0.799757,2.42574,1.07908,0.971868,-0.0972861,0,0.976726,0.13144,-0.0512496,0,0.141078,0.731725,-0.598828,0.914934,1.2152,-0.121645,0,1.22128
76,0.806605,2.44397,1.06925,0.971526,-0.110503,0,0.97779,0.12095,-0.0501296,0,0.130927,0.740527,-0.57918,0.918079,1.20446,-0.136998,0,1.21223
77,0.814546,2.4651,1.05796,0.97091,-0.124824,0,0.978901,0.11085,-0.0489076,0,0.12116,0.750755,-0.556351,0.921685,1.19196,-0.153244,0,1.20177
