"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
80, 8.290000259900000e-02, -4.708780058797707e-02, 3.011657750626677e-01, -3.207919804512027e-01, 2.898356715043712e-01, 7.607071453035068e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.812652773557216e-02
81, 7.440000027400000e-02, -4.527097620685489e-02, 2.676726284620651e-01, -2.811959211643468e-01, 3.093617292198980e-01, 6.766225389026140e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.689316881291300e-02
82, 6.633000075800000e-02, -4.335755565292945e-02, 2.360232348280846e-01, -2.419809717570057e-01, 3.311298339925642e-01, 5.972997998569106e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.320577543819278e-02
83, 5.869000032500000e-02, -4.134691352421981e-02, 2.039977519412902e-01, -2.007771939463722e-01, 3.541412182888507e-01, 5.169882793228008e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.494592952633874e-02
84, 5.149000138000000e-02, -3.924101510518446e-02, 1.686407344427268e-01, -1.543202732760525e-01, 3.771101507884680e-01, 4.285311672779112e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.954070267491212e-02
85, 4.473999887700000e-02, -3.704252321099447e-02, 1.296162034426688e-01, -1.017888934915517e-01, 3.997166467456165e-01, 3.310156261128453e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.382065078558555e-02
86, 3.844000026600000e-02, -3.475116240205318e-02, 8.724563449276497e-02, -4.299013804519207e-02, 4.217542487769930e-01, 2.255896519338954e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.809384402005351e-02
87, 3.260000050100000e-02, -3.237029567812163e-02, 4.145367354142768e-02, 2.274270079363427e-02, 4.425005047499980e-01, 1.120815475259351e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.319522389618784e-02
88, 2.723000012300000e-02, -2.990448150882450e-02, -8.205195550779028e-03, 9.658610236759936e-02, 4.606998854531208e-01, -1.031199390363215e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.896935741315819e-02
89, 2.232000045500000e-02, -2.734888114747635e-02, -6.169399968606949e-02, 1.793087169128289e-01, 4.747559283623979e-01, -1.419403499610158e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.499912656696438e-02
90, 1.789999939500000e-02, -2.472018270178670e-02, -1.190085745860109e-01, 2.718321495822917e-01, 4.824186498557895e-01, -2.813503935686048e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.064394737909764e-02
