"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,         109,      -6.806213253,       -6.61037899,      -7.211646506,       -7.40169969
          0,           0,         110,      -6.822853696,      -6.617434118,      -7.220034343,      -7.402651295
          0,           0,         111,      -6.844618237,      -6.628179167,      -7.228556669,      -7.406399705
          0,           0,         112,      -6.871529566,      -6.643404784,      -7.238983533,      -7.414288438
          0,           0,         113,      -6.903362854,      -6.663503805,       -7.25253105,      -7.427125374
          0,           0,         114,      -6.939562996,      -6.688542811,      -7.270003847,      -7.445353613
          0,           0,         115,      -6.979115271,      -6.718288888,      -7.291987963,      -7.469220918
          0,           0,         116,      -7.020371676,      -6.752184576,      -7.319063497,      -7.499164423
          0,           0,         117,      -7.060193855,      -6.788766946,      -7.351989518,      -7.537220356
          0,           0,         118,      -7.091067229,      -6.822842979,      -7.370986305,       -7.56375664
          0,           0,         119,      -7.121241895,      -6.860982748,      -7.401754409,      -7.599598558
          0,           0,         120,      -7.143081742,      -6.895830342,      -7.439427868,      -7.636854562
          0,           0,         121,      -7.157188828,      -6.928386946,      -7.471920679,      -7.676246014
          0,           0,         122,      -7.164135654,      -6.955807729,      -7.500840139,      -7.714017157
          0,           0,         123,      -7.165946933,      -6.976135602,       -7.52674532,      -7.743093602
          0,           0,         124,      -7.165888406,      -6.990348924,      -7.546844815,      -7.764448345
          0,           0,         125,      -7.166501391,      -7.000010086,      -7.560513409,      -7.779360047
          0,           0,         126,      -7.169327589,      -7.006625459,      -7.569374603,      -7.788097674
          0,           0,         127,       -7.17546149,       -7.01186777,      -7.575440437,      -7.791993794
          0,           0,         128,      -7.185480455,       -7.01723083,      -7.580193616,      -7.793367658
          0,           0,         129,      -7.199504182,      -7.023720102,      -7.585043998,       -7.79427532
          0,           0,         130,      -7.217387651,      -7.031902769,      -7.591346301,      -7.796124698
          0,           0,         131,      -7.238821931,      -7.042075798,      -7.599993488,      -7.799908248
          0,           0,         132,      -7.263331994,      -7.054358616,      -7.611381035,      -7.806344121
          0,           0,         133,      -7.290240144,       -7.06872997,      -7.625646395,      -7.815894871
          0,           0,         134,      -7.318654401,      -7.085072682,      -7.642835906,       -7.82881032
          0,           0,         135,      -7.347506394,      -7.103232109,      -7.662919246,      -7.845214888
          0,           0,         136,      -7.375652305,      -7.123069912,      -7.685767727,      -7.865214403
          0,           0,         137,      -7.402083707,      -7.144530021,      -7.711276545,      -7.889172433
          0,           0,         138,      -7.426349798,      -7.167731038,      -7.740580151,      -7.920029743
          0,           0,         139,      -7.441940134,      -7.187692002,      -7.765059644,      -7.947117657
          0,           0,         140,      -7.457269356,      -7.211500865,      -7.787204275,      -7.974989072
          0,           0,         141,      -7.468327102,      -7.233714059,      -7.814021686,      -8.003973867
          0,           0,         142,      -7.477414405,      -7.256271184,      -7.837344612,      -8.034756791
          0,           0,         143,      -7.485158316,      -7.278509715,      -7.859035201,      -8.067670679
          0,           0,         144,       -7.49256723,      -7.299127609,       -7.87887855,      -8.096392076
          0,           0,         145,      -7.500315152,      -7.317495441,      -7.896491078,      -8.119533787
          0,           0,         146,      -7.509293598,      -7.333453841,      -7.912051156,      -8.137341659
          0,           0,         147,       -7.52016562,      -7.347065042,      -7.925465305,      -8.149712607
          0,           0,         148,      -7.533509905,      -7.358739218,      -7.937587558,      -8.157107174
          0,           0,         149,      -7.549786519,      -7.369271866,      -7.949124646,      -8.161110249
          0,           0,         150,       -7.56923019,       -7.37962752,      -7.960526884,      -8.163808579
          0,           0,         151,      -7.591885817,      -7.390747138,      -7.972519119,      -8.167059022
          0,           0,         152,      -7.617662542,      -7.403487928,      -7.985837903,      -8.172347095
          0,           0,         153,      -7.646325198,      -7.418593242,      -8.000956462,      -8.180849976
          0,           0,         154,      -7.677430985,       -7.43664431,      -8.018195919,      -8.193477717
          0,           0,         155,      -7.710259222,      -7.458026102,       -8.03794425,      -8.210995139
          0,           0,         156,      -7.743735636,      -7.482894369,      -8.060958657,      -8.234571437
          0,           0,         157,      -7.774814764,      -7.510004936,      -8.088273375,      -8.268361771
          0,           0,         158,      -7.799719765,      -7.536559778,      -8.095774571,      -8.280742099
          0,           0,         159,      -7.824640899,      -7.568337705,       -8.12210568,      -8.315725264
          0,           0,         160,      -7.845389837,      -7.600346375,      -8.150817083,      -8.349688427
          0,           0,         161,      -7.861015934,      -7.633017484,      -8.175978392,      -8.388045104
          0,           0,         162,      -7.872060984,      -7.663149689,      -8.200324435,      -8.425089951
          0,           0,         163,      -7.878646226,      -7.687826781,      -8.223508074,      -8.455435892
          0,           0,         164,      -7.883035654,      -7.706162807,       -8.24369093,      -8.478494161
          0,           0,         165,      -7.887159205,      -7.718205165,      -8.259513573,      -8.493711504
          0,           0,         166,      -7.892511624,       -7.72487852,      -8.272055809,      -8.500986867
          0,           0,         167,      -7.900306634,      -7.728072927,      -8.282419941,      -8.502201347
          0,           0,         168,      -7.911331555,      -7.729995548,      -8.291198991,       -8.50039134
          0,           0,         169,      -7.925996381,       -7.73255914,      -8.299437555,      -8.498305374
          0,           0,         170,      -7.944463259,      -7.737217837,      -8.308391347,      -8.498016327
          0,           0,         171,      -7.966699757,      -7.745003396,      -8.319004674,      -8.501019467
          0,           0,         172,      -7.992450651,      -7.756570424,      -8.331903928,      -8.508317552
          0,           0,         173,      -8.021188346,      -7.772249225,      -8.347589258,      -8.520510643
          0,           0,         174,      -8.052084618,      -7.792114791,      -8.366514846,      -8.537947029
          0,           0,         175,      -8.084038346,      -7.816059925,      -8.389151686,      -8.561016418
          0,           0,         176,      -8.115827447,      -7.843869136,      -8.416843518,      -8.591667777
          0,           0,         177,      -8.140125041,      -7.870495921,      -8.444494186,      -8.628038413
          0,           0,         178,      -8.164562923,      -7.902079673,      -8.462824556,      -8.652296377
          0,           0,         179,      -8.182495142,      -7.932142267,      -8.496062921,       -8.68641958
          0,           0,         180,      -8.197100707,        -7.9626459,      -8.524039025,      -8.722775065
          0,           0,         181,      -8.206729003,      -7.991096031,      -8.552189996,       -8.76220308
          0,           0,         182,      -8.213690077,      -8.015433243,      -8.579338588,      -8.795905489
          0,           0,         183,      -8.219094368,      -8.034824374,      -8.602752738,      -8.822067458
          0,           0,         184,      -8.224837967,      -8.049561139,      -8.622745463,      -8.841216408
          0,           0,         185,      -8.232140798,      -8.060430382,       -8.63853426,      -8.853603278
          0,           0,         186,      -8.242030042,      -8.068720735,      -8.651239593,      -8.860020321
          0,           0,         187,      -8.255335764,      -8.076098314,      -8.662092692,      -8.862719921
          0,           0,         188,      -8.272473603,      -8.084113592,      -8.671881614,      -8.864439237
          0,           0,         189,      -8.293540681,      -8.093929838,      -8.681902935,      -8.867278595
          0,           0,         190,      -8.318437295,      -8.106364682,      -8.693445891,      -8.872678062
          0,           0,         191,      -8.346889089,      -8.121987085,      -8.707275542,      -8.881676294
          0,           0,         192,      -8.378383087,      -8.141141057,      -8.723803931,       -8.89501198
          0,           0,         193,      -8.412086851,      -8.163947725,      -8.743396446,      -8.913223788
          0,           0,         194,       -8.44678688,      -8.190309388,      -8.766593862,      -8.937007437
          0,           0,         195,        -8.4803523,      -8.219523254,      -8.794627439,      -8.968981025
          0,           0,         196,      -8.505255383,      -8.246250829,      -8.807246116,      -8.989987847
          0,           0,         197,      -8.532035006,      -8.279215868,      -8.831588441,      -9.020721122
          0,           0,         198,      -8.553040374,      -8.310967914,      -8.863248224,      -9.054519152
          0,           0,         199,      -8.569539988,      -8.343592334,      -8.890047445,      -9.091986452
          0,           0,         200,      -8.580768633,       -8.37392132,      -8.915004063,      -9.130274493
          0,           0,         201,      -8.587349488,       -8.39884331,      -8.939072525,       -9.16155223
          0,           0,         202,      -8.591378383,      -8.417692151,      -8.959364232,      -9.185802528
          0,           0,         203,      -8.594909263,       -8.43057288,      -8.974770381,      -9.202941145
          0,           0,         204,      -8.599400876,      -8.438133479,      -8.986265905,      -9.212355463
          0,           0,         205,      -8.606050642,      -8.441896452,      -8.995204177,      -9.215133894
          0,           0,         206,      -8.615658916,      -8.443808415,      -9.002432424,       -9.21391862
          0,           0,         207,      -8.628612851,      -8.445637832,      -9.008966632,      -9.211431451
          0,           0,         208,      -8.645040625,      -8.448769931,      -9.016084881,      -9.209791809
          0,           0,         209,       -8.66490505,      -8.454236989,      -9.024793805,      -9.210570833
          0,           0,         210,       -8.68800089,      -8.462759805,      -9.035686941,      -9.214892623
          0,           0,         211,      -8.713915132,      -8.474779465,      -9.049153523,      -9.223489924
          0,           0,         212,      -8.742002605,      -8.490509031,      -9.065532512,      -9.236805141
          0,           0,         213,      -8.771400304,       -8.50999744,      -9.085140084,      -9.255166066
          0,           0,         214,       -8.80111967,      -8.533200869,      -9.108457558,      -9.279256507
          0,           0,         215,      -8.829951338,      -8.559796623,      -9.138342031,      -9.313946332
          0,           0,         216,      -8.850617829,       -8.58475717,      -9.154304331,      -9.334238451
          0,           0,         217,      -8.871523662,      -8.614692212,      -9.180378448,      -9.368103697
          0,           0,         218,      -8.887971648,      -8.643713544,      -9.209537285,      -9.401386593
          0,           0,         219,      -8.900718468,      -8.673065797,      -9.236795623,      -9.438347367
          0,           0,         220,      -8.910822145,      -8.701019238,      -9.262266319,      -9.476104562
          0,           0,         221,      -8.918479452,      -8.725085558,      -9.286014466,      -9.507721963
          0,           0,         222,      -8.925068827,      -8.744412965,      -9.307289941,      -9.532248934
          0,           0,         223,      -8.931998313,      -8.759036259,      -9.324658315,      -9.549752646
          0,           0,         224,      -8.940378055,      -8.769500535,      -9.338656954,      -9.560075239
          0,           0,         225,      -8.951161939,      -8.777031114,      -9.350480484,      -9.564437707
          0,           0,         226,      -8.965022068,      -8.783253145,      -9.360772703,      -9.565400301
          0,           0,         227,      -8.982303441,        -8.7897094,      -9.370390891,      -9.565573521
          0,           0,         228,      -9.003114879,      -8.797657721,      -9.380495354,      -9.566998667
          0,           0,         229,      -9.027395316,      -8.808072768,      -9.392039184,      -9.571189179
          0,           0,         230,      -9.054897172,      -8.821661729,       -9.40563842,      -9.579237156
          0,           0,         231,      -9.085127871,      -8.838872781,      -9.421759241,      -9.591900196
          0,           0,         232,      -9.117299987,      -8.859921634,      -9.440889272,      -9.609778154
          0,           0,         233,      -9.150288915,      -8.884807906,      -9.463813801,      -9.633899684
          0,           0,         234,      -9.181209204,      -8.912299611,       -9.49214677,      -9.668703408
          0,           0,         235,       -9.20577199,        -8.9392887,      -9.500704985,      -9.682285494
          0,           0,         236,       -9.23022895,      -8.971347938,      -9.528076608,      -9.717704662
          0,           0,         237,      -9.250593529,      -9.003576365,      -9.557573871,      -9.752238776
          0,           0,         238,      -9.265896092,      -9.036429426,       -9.58401353,       -9.79125315
          0,           0,         239,      -9.276993737,      -9.067050323,      -9.609345532,      -9.829366876
          0,           0,         240,      -9.283904786,      -9.092573731,      -9.633285701,      -9.860980144
          0,           0,         241,      -9.288745873,      -9.112067761,      -9.654096678,      -9.885467096
          0,           0,         242,      -9.293333871,      -9.125479845,       -9.67017538,      -9.902289829
          0,           0,         243,      -9.299065275,      -9.133502324,      -9.682637547,      -9.911033986
          0,           0,         244,         -9.307089,       -9.13777072,      -9.692737823,      -9.913254278
          0,           0,         245,      -9.318142702,      -9.140315394,      -9.701106696,      -9.911875459
