"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
35, 7.103199958800001e-01, -4.342653146414090e-02, 9.190674086893352e-01, 9.679921139463185e-01, 1.023335341389074e-01, 2.739060741226147e+00
36, 6.958900094030001e-01, -4.492360835150702e-02, 9.131791336849476e-01, 9.696369356983359e-01, 9.859185135442092e-02, 2.723786302528570e+00
37, 6.812700033190000e-01, -4.638030977329576e-02, 9.074016314669282e-01, 9.711108333777130e-01, 9.469416876686969e-02, 2.708771546724038e+00
38, 6.664699912070000e-01, -4.779238920784500e-02, 9.017881930480905e-01, 9.724446996062056e-01, 9.066902109310163e-02, 2.694167017879145e+00
39, 6.514999866490000e-01, -4.915601338964256e-02, 8.963696069630825e-01, 9.736311918562729e-01, 8.654201908922510e-02, 2.680051391398056e+00
40, 6.363800168040000e-01, -5.046696163420078e-02, 8.911819492768203e-01, 9.746653658749178e-01, 8.234033584471941e-02, 2.666517732665179e+00
41, 6.211299896240000e-01, -5.172168961267823e-02, 8.862801643294459e-01, 9.755687744721590e-01, 7.809368176134682e-02, 2.653717018898471e+00
42, 6.057599782940000e-01, -5.291807692764991e-02, 8.817081295992458e-01, 9.763293429818182e-01, 7.382824852703158e-02, 2.641759916437619e+00
43, 5.902799963950000e-01, -5.405450997041918e-02, 8.775267422756954e-01, 9.769822605274776e-01, 6.957242329543310e-02, 2.630816722767999e+00
44, 5.747100114820000e-01, -5.512919326172473e-02, 8.737345007413305e-01, 9.775171918018383e-01, 6.534743528435796e-02, 2.620878116305391e+00
45, 5.590599775310000e-01, -5.614158135842321e-02, 8.703081706223139e-01, 9.779729064475380e-01, 6.117908373346346e-02, 2.611893330905010e+00
46, 5.433599948880000e-01, -5.709035729562086e-02, 8.671969636444287e-01, 9.783359565512582e-01, 5.708069914094355e-02, 2.603722272317453e+00
47, 5.276100039480000e-01, -5.797652002960325e-02, 8.644532276435301e-01, 9.786435262747339e-01, 5.307137962752324e-02, 2.596513526328709e+00
48, 5.118399858470000e-01, -5.879967260887443e-02, 8.622002842920504e-01, 9.788833691669757e-01, 4.915521222992723e-02, 2.590586432606277e+00
49, 4.960500001910000e-01, -5.956132444197448e-02, 8.605915691246323e-01, 9.791021728980080e-01, 4.534240161631031e-02, 2.586358663305292e+00
50, 4.802699983120000e-01, -6.026168453516498e-02, 8.596220803153222e-01, 9.792856666519415e-01, 4.162912538364243e-02, 2.583810593222005e+00
51, 4.645099937920000e-01, -6.090208018434514e-02, 8.590999144526537e-01, 9.794374206609511e-01, 3.801158891682579e-02, 2.582436638404939e+00
52, 4.487800002100000e-01, -6.148379922834984e-02, 8.588796376149049e-01, 9.795140263118348e-01, 3.447961412942982e-02, 2.581838801058868e+00
53, 4.331099987030000e-01, -6.200738310523465e-02, 8.595127338130274e-01, 9.795186865474265e-01, 3.101735200898177e-02, 2.583470279289293e+00
