"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          87,      -4.044148233,      -1.101536503,      -1.077007441,      -1.087178463,       1.427936024
          0,           0,          88,       -4.05036009,      -1.109849936,      -1.078779216,      -1.089373724,       1.421817159
          0,           0,          89,      -4.057408895,      -1.118689254,      -1.080495802,       -1.09155594,       1.414785412
          0,           0,          90,      -4.065252853,      -1.128074731,      -1.082137603,       -1.09370909,       1.406873546
          0,           0,          91,      -4.073803909,      -1.138019003,      -1.083687548,      -1.095815867,       1.398163372
          0,           0,          92,      -4.082934656,      -1.148529756,      -1.085130828,      -1.097863283,       1.388777997
          0,           0,          93,      -4.092475078,      -1.159604423,      -1.086460682,      -1.099841732,       1.378885725
          0,           0,          94,      -4.102220463,      -1.171227198,      -1.087677216,      -1.101748947,       1.368692864
          0,           0,          95,      -4.111941604,      -1.183369822,      -1.088789594,      -1.103591549,       1.358434864
          0,           0,          96,      -4.121391596,      -1.195985936,      -1.089818991,      -1.105383874,       1.348370092
          0,           0,          97,      -4.130338141,      -1.209008767,      -1.090800372,      -1.107152919,       1.338750501
          0,           0,          98,      -4.138568143,      -1.222347063,       -1.09178213,      -1.108936552,       1.329816483
          0,           0,          99,      -4.145916673,      -1.235884844,      -1.092827293,      -1.110785208,       1.321767453
          0,           0,         100,      -4.152282601,      -1.249482064,      -1.094011764,      -1.112761228,       1.314743072
          0,           0,         101,      -4.157637718,      -1.262974557,      -1.095424977,      -1.114938597,       1.308810596
          0,           0,         102,      -4.162028366,      -1.276181891,      -1.097165578,      -1.117401924,       1.303959086
          0,           0,         103,      -4.165563579,      -1.288913632,      -1.099341114,       -1.12024214,       1.300106795
          0,           0,         104,      -4.168397293,      -1.300985792,      -1.102062616,      -1.123555128,       1.297115649
          0,           0,         105,      -4.170717253,      -1.312238676,      -1.105443192,      -1.127437868,       1.294802559
          0,           0,         106,       -4.17272924,      -1.322554601,      -1.109594929,      -1.131986273,       1.292955647
          0,           0,         107,      -4.174639413,      -1.331871945,      -1.114621111,      -1.137288294,       1.291352656
          0,           0,         108,      -4.176654929,      -1.340201557,       -1.12061374,      -1.143421092,       1.289764027
          0,           0,         109,      -4.178969328,      -1.347623558,      -1.127651029,      -1.150445456,       1.287969391
          0,           0,         110,      -4.181764495,      -1.354281202,      -1.135789779,       -1.15840122,       1.285757394
          0,           0,         111,      -4.185205289,      -1.360367826,      -1.145060663,      -1.167305524,        1.28293272
          0,           0,         112,       -4.18943068,      -1.366099983,      -1.155461952,      -1.177141745,       1.279325076
          0,           0,         113,      -4.194549585,      -1.371690488,      -1.166954176,      -1.187850851,       1.274794481
          0,           0,         114,      -4.200636668,      -1.377317434,      -1.179453316,      -1.199339187,       1.269236294
          0,           0,         115,      -4.207710322,      -1.383096048,      -1.192817812,      -1.211460992,       1.262603384
          0,           0,         116,      -4.215705183,      -1.389049153,      -1.206844909,      -1.224015846,       1.254933419
          0,           0,         117,      -4.224456011,      -1.395075556,      -1.221263427,      -1.236751838,       1.246369093
          0,           0,         118,      -4.233680239,      -1.400929279,      -1.235729518,      -1.249363818,       1.237179218
          0,           0,         119,      -4.242995256,      -1.406216079,      -1.249830575,      -1.261505071,       1.227747564
          0,           0,         120,      -4.251939268,      -1.410422768,      -1.263095393,      -1.272800585,       1.218554888
          0,           0,         121,      -4.260006481,      -1.413014773,      -1.275037165,      -1.282868141,       1.210141859
          0,           0,         122,       -4.26671856,      -1.413575524,      -1.285230088,      -1.291361161,       1.203029281
          0,           0,         123,      -4.271664864,      -1.411929417,      -1.293403607,      -1.298021569,       1.197666194
          0,           0,         124,      -4.274598316,      -1.408202087,      -1.299539169,      -1.302754971,       1.194338169
          0,           0,         125,      -4.275466146,      -1.402761053,      -1.303860555,      -1.305676625,       1.193146392
          0,           0,         126,      -4.274505932,      -1.396158115,      -1.306754183,      -1.307126601,       1.193924647
          0,           0,         127,      -4.272192975,      -1.389040024,      -1.308639419,      -1.307600691,       1.196291482
          0,           0,         128,      -4.268959749,      -1.382007113,      -1.309853603,      -1.307595854,       1.199896599
          0,           0,         129,      -4.265067721,      -1.375473219,      -1.310633142,      -1.307478072,        1.20451827
          0,           0,         130,       -4.26059513,      -1.369640944,      -1.311167072,      -1.307449775,       1.210058971
          0,           0,         131,      -4.255575783,      -1.364509614,      -1.311644945,      -1.307605607,        1.21640337
          0,           0,         132,      -4.250191303,      -1.359967044,      -1.312258938,      -1.308016375,       1.223255561
          0,           0,         133,      -4.244732471,      -1.355892361,      -1.313168317,      -1.308781763,       1.230202709
          0,           0,         134,      -4.239558666,      -1.352206743,      -1.314465086,      -1.310028822,       1.236786502
          0,           0,         135,      -4.234982166,      -1.348893467,      -1.316178301,       -1.31187653,       1.242626867
          0,           0,         136,      -4.231203789,      -1.345990009,      -1.318293183,      -1.314403559,       1.247485288
          0,           0,         137,      -4.228305619,      -1.343570894,      -1.320774708,      -1.317624071,       1.251264981
          0,           0,         138,      -4.226304129,      -1.341711227,      -1.323594975,      -1.321486736,       1.253952714
          0,           0,         139,      -4.225181241,      -1.340483516,      -1.326737437,      -1.325892316,       1.255582981
          0,           0,         140,      -4.224895593,      -1.339940717,       -1.33018075,      -1.330709807,       1.256220249
          0,           0,         141,        -4.2253762,      -1.340102401,      -1.333874479,      -1.335785861,       1.255961085
          0,           0,         142,      -4.226495844,      -1.340947652,      -1.337715802,      -1.340938535,        1.25495686
          0,           0,         143,      -4.228084966,      -1.342429102,      -1.341551475,      -1.345968053,        1.25339899
          0,           0,         144,      -4.229944484,      -1.344491232,      -1.345194598,      -1.350664266,       1.251503771
          0,           0,         145,      -4.231868449,      -1.347070449,      -1.348439842,      -1.354821833,       1.249491056
          0,           0,         146,      -4.233645728,      -1.350084878,      -1.351080566,      -1.358247534,       1.247582899
          0,           0,         147,      -4.235067659,      -1.353428541,      -1.352934648,      -1.360777302,       1.245996891
          0,           0,         148,      -4.235950895,      -1.356964981,      -1.353877386,      -1.362301494,       1.244926107
          0,           0,         149,      -4.236171754,       -1.36052434,      -1.353872235,      -1.362784596,       1.244505987
          0,           0,         150,      -4.235707649,      -1.363912792,      -1.352985546,      -1.362284009,       1.244773939
          0,           0,         151,      -4.234643607,      -1.366929172,        -1.3513825,      -1.360947356,       1.245661949
          0,           0,         152,      -4.233168917,      -1.369393988,      -1.349305763,      -1.358995663,       1.246996341
          0,           0,         153,      -4.231546469,      -1.371186201,      -1.347045934,      -1.356697532,       1.248525418
          0,           0,         154,       -4.23009779,      -1.372274736,      -1.344913346,      -1.354336985,         1.2499318
          0,           0,         155,      -4.229153537,      -1.372748955,      -1.343204224,      -1.352185199,       1.250885211
          0,           0,         156,      -4.229044926,      -1.372815767,      -1.342182556,      -1.350487357,       1.251049688
          0,           0,         157,      -4.230069846,      -1.372795514,      -1.342066167,      -1.349439294,       1.250119228
          0,           0,         158,      -4.232491458,      -1.373091109,      -1.343010506,      -1.349201472,       1.247819355
          0,           0,         159,      -4.236509266,      -1.374142717,      -1.345101912,      -1.349877526,       1.243933874
          0,           0,         160,      -4.242277475,      -1.376389463,      -1.348365524,       -1.35151936,       1.238290649
          0,           0,         161,      -4.249900059,      -1.380253123,      -1.352764855,      -1.354129707,       1.230765218
          0,           0,         162,      -4.259467879,      -1.386123194,      -1.358212383,        -1.3576778,       1.221246056
          0,           0,         163,      -4.271032271,       -1.39435318,      -1.364574059,      -1.362108943,        1.20965894
          0,           0,         164,      -4.284636838,      -1.405259206,       -1.37168979,      -1.367355594,       1.195936927
          0,           0,         165,      -4.300266797,      -1.419122253,      -1.379385969,      -1.373345013,       1.180067877
          0,           0,         166,      -4.317868001,      -1.436190971,      -1.387493833,      -1.380012699,       1.162077822
          0,           0,         167,      -4.337302679,      -1.456672679,      -1.395863417,      -1.387306523,       1.142075306
          0,           0,         168,      -4.358332705,      -1.480741316,      -1.404380892,      -1.395188386,       1.120269996
          0,           0,         169,      -4.380582086,      -1.508490426,      -1.412967993,      -1.403633043,       1.097014261
          0,           0,         170,      -4.403550801,      -1.539915083,      -1.421584379,      -1.412615168,       1.072802312
          0,           0,         171,      -4.426595453,      -1.574856395,      -1.430214102,      -1.422101165,       1.048297261
          0,           0,         172,      -4.448944487,      -1.612892111,      -1.438857361,      -1.432040383,       1.024329394
          0,           0,         173,      -4.469754251,      -1.653196395,      -1.447518237,      -1.442362717,       1.001846725
          0,           0,         174,      -4.488153726,      -1.694334476,      -1.456201935,      -1.452980478,      0.9818675437
          0,           0,         175,      -4.503334846,      -1.734013737,      -1.464912673,      -1.463797802,      0.9653715081
          0,           0,         176,      -4.514649704,      -1.768994289,       -1.47365175,        -1.4747162,      0.9531694337
          0,           0,         177,      -4.521714126,      -1.795474299,       -1.48241748,      -1.485635725,      0.9457599153
          0,           0,         178,      -4.524521108,      -1.810235134,      -1.491199319,      -1.496455093,      0.9431851586
          0,           0,         179,      -4.523517789,      -1.812137054,      -1.499979346,      -1.507076442,      0.9449487009
          0,           0,         180,      -4.519560501,      -1.802766849,      -1.508734941,      -1.517408491,        0.95007897
          0,           0,         181,      -4.513747203,      -1.785586764,      -1.517441525,      -1.527369634,      0.9573338754
          0,           0,         182,      -4.507197963,      -1.764411976,      -1.526085922,      -1.536899462,      0.9654532926
          0,           0,         183,      -4.500907059,      -1.742354124,      -1.534664355,       -1.54596172,      0.9733293703
