"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         154,      -14.08557167,      -13.98278682,      -14.14741544
          0,           0,         155,       -14.0666317,      -13.94219568,      -14.25690386
          0,           0,         156,      -14.10655507,      -13.96300907,      -14.22178366
          0,           0,         157,      -14.05364319,      -13.92057624,      -14.16136668
          0,           0,         158,      -14.05957881,      -13.95345892,      -14.17893505
          0,           0,         159,      -14.04973173,      -13.91563824,      -14.12674049
          0,           0,         160,      -14.05455987,      -13.92603852,      -14.13399955
          0,           0,         161,      -14.08062158,      -13.94781802,      -14.10683308
          0,           0,         162,      -14.02763983,       -13.8862383,      -14.16872257
          0,           0,         163,      -14.04213032,      -13.91082452,      -14.17724146
          0,           0,         164,      -14.06789372,      -13.93971114,      -14.17613939
          0,           0,         165,      -14.05144356,      -13.93206156,      -14.11270546
          0,           0,         166,      -14.01787055,      -13.90558964,      -14.11764407
          0,           0,         167,      -14.04140221,      -13.89931262,      -14.12290903
          0,           0,         168,      -14.00979663,      -13.86212759,      -14.08488522
          0,           0,         169,      -14.11697888,      -13.98760558,      -14.19194483
          0,           0,         170,      -13.97654144,      -13.84868347,      -14.13473131
          0,           0,         171,      -14.08570227,      -13.97344356,      -14.19998797
          0,           0,         172,      -14.08273458,      -13.98424258,      -14.28527687
          0,           0,         173,      -13.98653923,        -13.869549,      -14.12865537
          0,           0,         174,      -14.09444553,      -13.99550812,      -14.17899657
          0,           0,         175,       -14.0982008,       -13.9719624,      -14.17803013
          0,           0,         176,       -14.0519561,      -13.94107476,      -14.14083847
          0,           0,         177,      -13.98079007,      -13.86720015,      -14.12266564
          0,           0,         178,      -14.02689344,      -13.91512523,      -14.15241206
          0,           0,         179,      -14.08879766,      -13.95682464,      -14.14800755
          0,           0,         180,      -14.05296641,      -13.91336443,      -14.17034309
          0,           0,         181,      -14.13349592,      -13.98355218,      -14.16701867
          0,           0,         182,       -13.9521439,       -13.8144519,      -14.09960566
          0,           0,         183,       -14.0241488,      -13.90268711,      -14.18235867
          0,           0,         184,      -14.01709262,      -13.91283956,      -14.13635614
          0,           0,         185,      -13.99787973,      -13.87462522,      -14.15764818
          0,           0,         186,      -14.02906331,       -13.9029117,      -14.19649426
          0,           0,         187,      -14.04873079,      -13.93253502,      -14.18558773
