"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
33, 7.385200262070000e-01, -2.917620185599259e-02, -1.203092650078763e-01, 2.328043494659172e-01, -8.802898973354299e-02, -3.182699132407837e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.296683144955357e-03
34, 7.245299816130000e-01, -3.054052732476929e-02, -1.122682376964678e-01, 2.220845993256494e-01, -8.778037744402266e-02, -2.977300932100804e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.179930496204971e-03
35, 7.103199958800001e-01, -3.190102102598261e-02, -1.044272136104314e-01, 2.116908360547905e-01, -8.733717434874563e-02, -2.772977464692803e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.027839076026152e-03
36, 6.958900094030001e-01, -3.325618922707758e-02, -9.647457313855197e-02, 2.012753414653113e-01, -8.689841116923273e-02, -2.570576277411607e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.014446925245036e-03
37, 6.812700033190000e-01, -3.460171035275948e-02, -8.865499335968291e-02, 1.911105608367369e-01, -8.627873238052529e-02, -2.367794916124818e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.914809593900788e-03
38, 6.664699912070000e-01, -3.593517252059597e-02, -8.070731270355742e-02, 1.808993961723067e-01, -8.565216275849379e-02, -2.165995682438557e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.885539434226610e-03
39, 6.514999866490000e-01, -3.725413716181186e-02, -7.287834673904243e-02, 1.709099459950582e-01, -8.484493682311280e-02, -1.963472268707393e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.765826827288009e-03
40, 6.363800168040000e-01, -3.855528124840277e-02, -6.491538478461682e-02, 1.608636790774361e-01, -8.401830398070462e-02, -1.761556367328873e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.715180701640347e-03
41, 6.211299896240000e-01, -3.983533752769514e-02, -5.705085640685382e-02, 1.510138851132694e-01, -8.300911261602596e-02, -1.558605921720125e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.581671795577873e-03
42, 6.057599782940000e-01, -4.109187590511927e-02, -4.903710481901673e-02, 1.410793727150619e-01, -8.196515960410289e-02, -1.355518668589636e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.524135626934545e-03
43, 5.902799963950000e-01, -4.232242396995379e-02, -4.106324949570100e-02, 1.312706966346009e-01, -8.074142331591776e-02, -1.150409585395754e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.419203045694746e-03
44, 5.747100114820000e-01, -4.352369723267403e-02, -3.292010853008833e-02, 1.213528867671798e-01, -7.945647245050495e-02, -9.440266690091287e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.381806339588703e-03
45, 5.590599775310000e-01, -4.469318030333533e-02, -2.475264924974635e-02, 1.114838390854588e-01, -7.800205239260806e-02, -7.347130602562315e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.342692432893296e-03
46, 5.433599948880000e-01, -4.582685946439827e-02, -1.640979944790818e-02, 1.014975637459395e-01, -7.645039946428221e-02, -5.229089674149631e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.397342742820025e-03
47, 5.276100039480000e-01, -4.692291573368042e-02, -7.971974411166044e-03, 9.149308652737431e-02, -7.472887951664511e-02, -3.075898037428441e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.456789524775328e-03
48, 5.118399858470000e-01, -4.797737743921393e-02, 6.743862456336901e-04, 8.132918922932515e-02, -7.287613795012478e-02, -8.837422557490502e-04, 0.000000000000000e+00, 0.000000000000000e+00, -2.477302962944189e-03
49, 4.960500001910000e-01, -4.898828795505460e-02, 9.495514138266164e-03, 7.105461251906933e-02, -7.085747654377129e-02, 1.357442528005976e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.333250943419723e-03
50, 4.802699983120000e-01, -4.995170919506712e-02, 1.848598174666435e-02, 6.067697938176759e-02, -6.866434122528473e-02, 3.643880254052568e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.060798763799138e-03
51, 4.645099937920000e-01, -5.086498420444133e-02, 2.762789277126663e-02, 5.022058789919345e-02, -6.628194421457520e-02, 5.966014251238484e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.994394334305866e-03
52, 4.487800002100000e-01, -5.172537211102438e-02, 3.689241194492686e-02, 3.969913912484626e-02, -6.367276894971702e-02, 8.327346251575945e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.411246089897136e-03
53, 4.331099987030000e-01, -5.252905546358660e-02, 4.639571420270571e-02, 2.901014089786601e-02, -6.086393328114832e-02, 1.073560565368135e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.014156891870410e-03
54, 4.174999892710000e-01, -5.327379392032580e-02, 5.612847738541658e-02, 1.813737821985476e-02, -5.779130523430095e-02, 1.321409523121594e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.638627920012403e-03
55, 4.019699990750000e-01, -5.395628079835649e-02, 6.619774070348514e-02, 6.984283541201838e-03, -5.448086703942748e-02, 1.576338791397924e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.570391508720479e-04
56, 3.865399956700000e-01, -5.457329214398400e-02, 7.648705843128253e-02, -4.310931467672544e-03, -5.086267780056115e-02, 1.837757788886197e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.780526802544387e-04
57, 3.712300062180000e-01, -5.512170302453576e-02, 8.708927331727269e-02, -1.582572223103769e-02, -4.693532393475493e-02, 2.104955872493587e-02, 0.000000000000000e+00, 0.000000000000000e+00, -5.216447307894416e-03
58, 3.560400009160000e-01, -5.559910006740537e-02, 9.789644798412020e-02, -2.746168790286448e-02, -4.264006618249108e-02, 2.376565203594751e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.571741973944227e-02
59, 3.409900069240000e-01, -5.600235423057310e-02, 1.083765787934539e-01, -3.871256846833844e-02, -3.797007070824500e-02, 2.638611038977157e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.053403475154986e-02
