"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          86,       -10.2666537,      -10.31311369,      -10.52980767,      -10.29720397,      -9.692457129
          0,           0,          87,      -10.32048692,      -10.36646695,      -10.54587906,      -10.32186464,      -9.743340768
          0,           0,          88,      -10.37955114,      -10.42048322,      -10.55698941,      -10.34323458,      -9.795260613
          0,           0,          89,      -10.43732679,      -10.48307585,      -10.57935342,      -10.37918341,      -9.862932404
          0,           0,          90,      -10.50025666,      -10.54360769,      -10.60829716,      -10.41610944,      -9.922963738
          0,           0,          91,      -10.57101232,      -10.60267322,      -10.64083883,      -10.45325425,      -9.986149016
          0,           0,          92,      -10.63259223,      -10.66383466,      -10.67844091,      -10.49775918,      -10.05694317
          0,           0,          93,       -10.6956929,      -10.72214734,      -10.72856523,      -10.54832612,      -10.11863054
          0,           0,          94,      -10.75814351,      -10.77350511,      -10.78662406,      -10.60114166,      -10.17273854
          0,           0,          95,      -10.80281071,      -10.82520044,      -10.84430339,       -10.6561156,      -10.23014421
          0,           0,          96,      -10.84754761,      -10.87508594,      -10.91767075,      -10.71944273,      -10.27185504
          0,           0,          97,      -10.88928969,      -10.92118796,      -11.00234684,      -10.78743305,      -10.30513893
          0,           0,          98,      -10.91884658,      -10.97114259,       -11.0765137,      -10.85175213,       -10.3492875
          0,           0,          99,      -10.95235357,      -11.02124156,      -11.16175386,      -10.92051867,      -10.37844857
          0,           0,         100,      -10.99003263,      -11.07309738,      -11.23670664,      -10.98450648,      -10.41312986
          0,           0,         101,      -11.02677407,      -11.12632837,      -11.29066241,      -11.04015385,      -10.44928264
          0,           0,         102,      -11.06552567,      -11.17988734,      -11.31808155,       -11.0819495,      -10.48770311
          0,           0,         103,      -11.10840561,      -11.23413023,      -11.32803608,      -11.11120438,      -10.53055088
          0,           0,         104,      -11.14963214,      -11.28583761,      -11.32965486,      -11.13063695,       -10.5806478
          0,           0,         105,      -11.19832642,      -11.33462487,      -11.32387544,      -11.13965174,      -10.62366599
          0,           0,         106,      -11.24603796,      -11.38020146,      -11.32121815,      -11.14562679,      -10.67655333
          0,           0,         107,      -11.29918208,      -11.42283222,      -11.31777923,      -11.14681475,      -10.72369416
          0,           0,         108,      -11.34857228,      -11.46204822,      -11.32097215,      -11.15162824,      -10.77781607
          0,           0,         109,      -11.40357575,      -11.50077999,      -11.32650704,      -11.15667892,      -10.82743221
          0,           0,         110,      -11.45816011,      -11.53522363,      -11.33551075,      -11.16359364,      -10.87777381
          0,           0,         111,      -11.50967598,       -11.5712751,      -11.35018273,       -11.1746072,      -10.92819929
          0,           0,         112,      -11.55866579,      -11.60865365,      -11.37147091,      -11.19128968,      -10.97693654
          0,           0,         113,      -11.60482002,       -11.6422449,      -11.39543659,      -11.20968048,      -11.01755837
          0,           0,         114,      -11.63999472,      -11.68186299,      -11.42654797,      -11.23803264,      -11.06392071
          0,           0,         115,      -11.68058733,      -11.72776426,       -11.4681866,      -11.27627802,       -11.1019085
          0,           0,         116,      -11.71879356,       -11.7690738,      -11.51721037,      -11.32074543,      -11.13294053
          0,           0,         117,      -11.74605551,      -11.81342431,       -11.5647306,      -11.36679319,      -11.17283389
          0,           0,         118,       -11.7801249,      -11.86336374,      -11.62678058,      -11.42441866,      -11.20369091
          0,           0,         119,      -11.81759131,      -11.91048777,      -11.69729813,      -11.49072573,      -11.23263997
          0,           0,         120,      -11.84676413,      -11.95973099,      -11.75613841,      -11.55311183,      -11.27498781
          0,           0,         121,      -11.88226847,      -12.00842149,      -11.82890668,      -11.62817187,      -11.30690727
          0,           0,         122,      -11.92475348,      -12.05081913,      -11.90317373,       -11.7121213,      -11.33998036
          0,           0,         123,      -11.96047723,      -12.09556527,      -11.94928868,       -11.7866683,      -11.38813477
          0,           0,         124,      -12.00058673,      -12.13120212,      -11.99472571,      -11.86941268,      -11.42505648
