    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       
      -8.109201046,      -5.813373813,      -6.218838852,      -5.762987766,      -10.25472387,     0.00783762351,      0.3454275531
      -8.183458044,      -5.834551986,      -6.260045229,      -5.799043906,      -10.24970228,     0.00782682412,      0.3452718456
      -8.268075452,      -5.850865132,      -6.309445212,      -5.829530653,      -10.24635339,    0.007816849146,      0.3451496527
      -8.318674074,       -5.86051875,      -6.356254167,      -5.843521696,      -10.24437782,    0.007806568641,      0.3450647706
      -8.311746442,       -5.86651178,      -6.389525326,      -5.843736742,      -10.24347683,    0.007795217918,      0.3450127029
      -8.287709661,        -5.8737468,      -6.409366666,      -5.842892689,      -10.24322936,    0.007782501181,      0.3449831837
      -8.287530786,      -5.885217984,      -6.427510272,      -5.851277911,      -10.24342959,    0.007768558935,       0.344963657
      -8.326316358,        -5.9003198,      -6.456109372,      -5.870973689,      -10.24391123,    0.007753844935,      0.3449426541
      -8.403434984,      -5.915702412,      -6.499903629,      -5.896205851,      -10.24467072,    0.007738962497,      0.3449120873
      -8.497936282,       -5.92802956,      -6.553909039,      -5.917322333,      -10.24582586,    0.007724492451,      0.3448681292
      -8.557889171,      -5.936686312,       -6.60423811,      -5.928631463,      -10.24740105,    0.007710871185,      0.3448109151
      -8.558488178,        -5.9437938,      -6.637841405,      -5.933276158,      -10.24949036,    0.007698327874,      0.3447434108
      -8.547130099,      -5.951751615,      -6.657327814,      -5.938367741,      -10.25216272,    0.007686893555,       0.344670067
      -8.562276696,      -5.961190552,      -6.677465835,       -5.94776936,      -10.25537699,    0.007676447464,      0.3445954307
      -8.609152016,      -5.970962512,      -6.709092069,      -5.960242122,        -10.259019,    0.007666783299,      0.3445231347
      -8.671562018,      -5.979571029,      -6.751994864,      -5.972032645,      -10.26292406,    0.007657674761,      0.3444554213
       -8.71957303,       -5.98650385,      -6.796313067,      -5.980581979,      -10.26695165,    0.007648925738,      0.3443931927
       -8.73616332,      -5.992327177,      -6.830359211,      -5.986171627,      -10.27099056,    0.007640397327,      0.3443363824
      -8.735636319,      -5.997803748,      -6.851967531,       -5.99052572,      -10.27500173,     0.00763200788,      0.3442843961
      -8.735854505,      -6.003171441,      -6.868739484,      -5.994746421,      -10.27896942,     0.00762372223,      0.3442364654
       -8.73980469,      -6.008185501,      -6.886797967,      -5.998792724,      -10.28290598,    0.007615532001,      0.3441918302
      -8.742243797,       -6.01259448,      -6.904277935,      -6.002239331,      -10.28683744,    0.007607441946,      0.3441498028
      -8.738921926,      -6.016434205,      -6.913893653,       -6.00495438,      -10.29083188,    0.007599462423,      0.3441097336
      -8.728628537,      -6.019942214,      -6.909776228,      -6.007079518,      -10.29491092,    0.007591607392,      0.3440709606
      -8.710877037,      -6.023358254,      -6.891558788,        -6.0087556,       -10.2990125,    0.007583896718,      0.3440328047
      -8.685475991,      -6.026843727,       -6.86240892,       -6.01008136,      -10.30313832,    0.007576357068,      0.3439946362
        -8.6532102,      -6.030489327,      -6.825794535,      -6.011177147,      -10.30722707,    0.007569018902,      0.3439559431
      -8.613972578,      -6.034363808,      -6.784597658,      -6.012033094,      -10.31122582,    0.007561913146,      0.3439163972
      -8.567852227,      -6.038727696,      -6.741032741,      -6.012643148,      -10.31507179,    0.007555067236,      0.3438758796
      -8.522040928,      -6.044327864,      -6.696726655,      -6.014072047,      -10.31878767,    0.007548499624,      0.3438344523
      -8.489096971,      -6.052147046,       -6.65383908,        -6.0187456,      -10.32235527,    0.007542219502,      0.3437923418
      -8.475067396,      -6.062371808,      -6.615520662,      -6.027930684,      -10.32575429,    0.007536227582,       0.343749956
      -8.470887097,      -6.073673232,       -6.58389997,      -6.038672527,      -10.32893542,    0.007530514708,      0.3437079183
      -8.455258206,      -6.084139168,      -6.557785537,      -6.045025862,      -10.33188841,    0.007525059945,      0.3436670672
      -8.417259045,      -6.093425829,      -6.533369072,      -6.044597021,      -10.33465232,    0.007519825695,       0.343628329
      -8.371678786,      -6.103779644,      -6.508079336,      -6.042796402,      -10.33731967,      0.0075147571,      0.3435924075
      -8.352319894,      -6.110735814,      -6.494973541,       -6.04438595,        -10.338703,    0.007512165956,      0.3435749156
