"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          98,      -4.748974482,      -3.961582785,      -3.976662358,      -2.701035605,      -11.10125581
          0,           0,          99,      -4.744238998,      -3.957054313,      -3.971981009,       -2.69638743,      -11.09321393
          0,           0,         100,      -4.739524525,      -3.952635199,      -3.967484867,      -2.691760282,      -11.08513668
          0,           0,         101,      -4.734843299,      -3.948334357,      -3.963174149,      -2.687165963,      -11.07701249
          0,           0,         102,      -4.730208061,      -3.944157101,      -3.959048778,       -2.68261682,      -11.06879334
          0,           0,         103,      -4.725631942,      -3.940107558,      -3.955108102,      -2.678125709,      -11.06053509
          0,           0,         104,      -4.721128118,      -3.936185848,      -3.951350748,      -2.673705592,       -11.0522686
          0,           0,         105,      -4.716709464,      -3.932388368,      -3.947773749,      -2.669369291,      -11.04395941
          0,           0,         106,      -4.712388239,      -3.928705879,      -3.944372799,      -2.665129221,      -11.03562759
          0,           0,         107,      -4.708175629,      -3.925123868,      -3.941141896,      -2.660996966,      -11.02731969
          0,           0,         108,       -4.70408138,      -3.921622546,      -3.938072637,      -2.656982909,      -11.01902111
          0,           0,         109,      -4.700113349,       -3.91817613,      -3.935153859,      -2.653095797,      -11.01069645
          0,           0,         110,      -4.696277163,      -3.914755245,      -3.932371901,      -2.649342407,      -11.00242177
          0,           0,         111,      -4.692576046,      -3.911327477,      -3.929710672,      -2.645727304,      -10.99420662
          0,           0,         112,      -4.689010603,      -3.907858939,      -3.927151643,      -2.642252552,      -10.98598936
          0,           0,         113,      -4.685578837,      -3.904317176,      -3.924673934,      -2.638917626,      -10.97780665
          0,           0,         114,      -4.682276411,      -3.900673962,      -3.922255729,      -2.635719529,      -10.96971014
          0,           0,         115,      -4.679096948,      -3.896907846,       -3.91987533,      -2.632652966,       -10.9616525
          0,           0,         116,      -4.676032464,      -3.893006374,      -3.917512086,      -2.629710634,       -10.9536086
          0,           0,         117,      -4.673073912,      -3.888968399,      -3.915147827,      -2.626883625,      -10.94564176
          0,           0,         118,      -4.670211918,      -3.884805023,      -3.912768583,      -2.624162063,      -10.93779009
          0,           0,         119,      -4.667437329,       -3.88053981,      -3.910366257,       -2.62153563,      -10.92994412
          0,           0,         120,       -4.66474168,      -3.876207863,      -3.907939311,      -2.618994005,      -10.92217534
          0,           0,         121,      -4.662117667,       -3.87185391,      -3.905493536,      -2.616527424,      -10.91452668
          0,           0,         122,      -4.659559381,      -3.867529197,      -3.903042877,      -2.614127068,       -10.9069708
          0,           0,         123,       -4.65706239,      -3.863288572,      -3.900608772,      -2.611785321,      -10.89946093
          0,           0,         124,      -4.654623525,      -3.859186159,      -3.898218966,       -2.60949577,      -10.89208338
          0,           0,         125,      -4.652240688,      -3.855272252,      -3.895906231,      -2.607253322,      -10.88482612
          0,           0,         126,      -4.649912379,       -3.85158916,      -3.893706555,      -2.605053955,      -10.87764312
          0,           0,         127,      -4.647637269,      -3.848168382,      -3.891656489,      -2.602894521,      -10.87057505
          0,           0,         128,      -4.645413736,      -3.845028749,      -3.889790485,      -2.600772472,      -10.86363929
          0,           0,         129,      -4.643239495,      -3.842174574,      -3.888138528,      -2.598685594,      -10.85680361
          0,           0,         130,      -4.641111292,       -3.83959524,      -3.886723852,      -2.596631746,      -10.85004629
          0,           0,         131,      -4.639024681,      -3.837265236,      -3.885560885,      -2.594608593,      -10.84340225
          0,           0,         132,      -4.636974109,      -3.835145316,      -3.884653529,       -2.59261357,      -10.83684351
          0,           0,         133,      -4.634953025,      -3.833185666,      -3.883993989,      -2.590643799,      -10.83037292
          0,           0,         134,      -4.632954093,      -3.831327954,      -3.883562522,      -2.588696046,      -10.82398635
          0,           0,         135,      -4.630969611,       -3.82950935,      -3.883327714,      -2.586766878,      -10.81767097
          0,           0,         136,      -4.628991766,      -3.827666915,      -3.883247162,      -2.584852608,      -10.81138649
          0,           0,         137,       -4.62701313,      -3.825741052,      -3.883269444,      -2.582949527,      -10.80517672
          0,           0,         138,      -4.625027043,      -3.823680946,      -3.883335977,      -2.581054048,      -10.79903813
          0,           0,         139,      -4.623027829,      -3.821448172,      -3.883384085,       -2.57916271,      -10.79293587
          0,           0,         140,      -4.621011143,      -3.819018266,      -3.883350747,      -2.577272399,      -10.78686377
          0,           0,         141,      -4.618974012,      -3.816382694,      -3.883175489,      -2.575380349,      -10.78085087
          0,           0,         142,      -4.616914945,      -3.813550104,       -3.88280411,      -2.573484278,       -10.7748965
          0,           0,         143,      -4.614833819,      -3.810543916,      -3.882192258,      -2.571582374,      -10.76896996
          0,           0,         144,      -4.612731747,      -3.807399953,      -3.881307568,      -2.569673292,      -10.76311784
          0,           0,         145,      -4.610610863,      -3.804163882,      -3.880131275,      -2.567756158,      -10.75731881
          0,           0,         146,      -4.608473854,      -3.800886656,      -3.878659185,      -2.565830324,      -10.75154609
          0,           0,         147,      -4.606323623,      -3.797620079,      -3.876901173,      -2.563895285,      -10.74585951
          0,           0,         148,       -4.60416287,      -3.794413244,      -3.874879355,      -2.561950467,      -10.74022427
          0,           0,         149,      -4.601993561,      -3.791309006,      -3.872625747,      -2.559994855,      -10.73466183
          0,           0,         150,       -4.59981654,      -3.788341045,      -3.870179489,      -2.558026792,      -10.72917477
          0,           0,         151,      -4.597630963,      -3.785531314,      -3.867583613,      -2.556043498,      -10.72374146
          0,           0,         152,      -4.595434084,      -3.782888981,       -3.86488161,      -2.554040904,       -10.7183812
          0,           0,         153,      -4.593220997,      -3.780409985,      -3.862114447,      -2.552013388,      -10.71310867
          0,           0,         154,      -4.590984525,       -3.77807776,      -3.859318112,      -2.549953561,      -10.70783907
          0,           0,         155,      -4.588715314,      -3.775863981,      -3.856521955,      -2.547852295,      -10.70267773
          0,           0,         156,      -4.586402053,      -3.773731236,      -3.853747251,      -2.545698838,      -10.69759417
          0,           0,         157,      -4.584031918,      -3.771634866,      -3.851006966,      -2.543481077,      -10.69254353
          0,           0,         158,      -4.581591201,      -3.769526527,      -3.848305795,      -2.541186023,      -10.68751179
          0,           0,         159,      -4.579066034,      -3.767358102,      -3.845640998,      -2.538800396,      -10.68261206
          0,           0,         160,      -4.576443186,      -3.765084516,       -3.84300381,       -2.53631129,      -10.67770271
          0,           0,         161,       -4.57371097,      -3.762667822,      -3.840381027,      -2.533707025,        -10.672858
          0,           0,         162,      -4.570860027,      -3.760079702,      -3.837757112,      -2.530977835,      -10.66809428
          0,           0,         163,      -4.567884185,      -3.757304162,      -3.835116005,      -2.528116723,      -10.66338067
