Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
64,1.15813,236635,0,-272.271,14.5503,272.66,0.0526757,18.1194,-6.04557,7.78246,20.6259,0.00636967,0.0555782,1.04,1.0415,94580.6,-0.123631,284.495,15.6453,-5.21998,6.71971,17.8095
65,1.14646,233229,0,-272.271,12.2239,272.546,0.0585017,21.2049,-0.810285,7.83876,22.6219,0.00581273,0.0466918,1.04,1.04106,93202.4,-0.148895,283.203,18.4959,-0.706669,6.83721,19.7318
66,1.1347,229970,0,-272.271,9.86298,272.45,0.0685449,24.8252,3.74825,7.42583,26.1817,0.00515333,0.0376738,1.04,1.04069,91867.3,-0.17337,282.041,21.8783,3.30336,6.54422,23.0737
67,1.12081,226306,0,-272.271,7.51732,272.375,0.0823371,29.0487,8.11052,7.15624,30.9971,0.00438734,0.028714,1.04,1.04041,90350.7,-0.201169,280.822,25.9176,7.23635,6.38484,27.656
68,1.11041,223429,0,-272.271,5.23561,272.322,0.0987651,34.0912,12.1787,6.38693,36.7603,0.003515,0.0199985,1.04,1.0402,89128.3,-0.223577,279.616,30.7015,10.9678,5.75202,33.1053
69,1.09876,220568,0,-272.271,3.06167,272.289,0.117052,39.7647,15.0402,6.65935,43.0324,0.00254227,0.0116947,1.04,1.04007,87890,-0.246277,278.656,36.1907,13.6884,6.06085,39.1647
70,1.09194,218919,0,-272.271,1.03139,272.273,0.136067,46.2979,16.7739,6.33723,49.6489,0.00148114,0.00393963,1.04,1.04001,87115.9,-0.260467,277.925,42.3997,15.3616,5.804,45.4687
71,1.08874,218310,0,-272.271,-0.829196,272.273,0.155562,53.6205,17.0396,5.73116,56.554,0.000349322,-0.0031673,1.04,1.04,86736.2,-0.267427,277.527,49.2501,15.6509,5.26476,51.9446
72,1.09196,219664,0,-272.271,-2.50445,272.283,0.173142,61.4692,13.7172,5.04571,63.183,-0.000831594,-0.00956629,1.04,1.04004,87134.1,-0.260134,277.978,56.2921,12.562,4.61969,57.8614
73,0.868564,162294,0,-272.271,-5.81623,272.333,0.243985,-3.42348,67.8117,3.17231,67.9721,-0.0202683,-0.0222164,1.04,1.04043,63852.6,-0.686907,256.1,-3.94162,78.0891,3.64968,78.2736
74,0.861385,160364,0,-272.271,-4.65839,272.311,0.264541,7.28068,72.3865,3.9969,72.8615,-0.0202412,-0.0177937,1.04,1.04035,62912.7,-0.704136,254.434,8.45234,84.0411,4.63855,84.5923
75,0.854818,158549,0,-272.271,-3.32613,272.292,0.285054,17.0466,75.6039,4.82428,77.6518,-0.0200405,-0.0127049,1.04,1.04027,62008.9,-0.720703,252.704,19.9418,88.4444,5.64364,90.8402
76,0.882191,165289,0,-272.271,-1.81253,272.277,0.265992,26.0672,70.3838,5.58267,75.2632,-0.0196378,-0.00692334,1.04,1.04021,64831.2,-0.668967,256.004,29.5486,79.7845,6.32759,85.3154
77,1.25216,278137,0,-272.271,30.5042,273.975,0.293074,65.0253,-109.357,13.0349,127.895,0.00625738,0.116517,1.04,1.04653,108642,0.134127,302.252,51.9308,-87.3368,10.4106,102.142
