"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         119,      -8.013876693,      -8.221803128,      -8.565887342,      -7.312557651
          0,           0,         120,      -8.026028594,      -8.225454767,      -8.588560376,      -7.321688606
          0,           0,         121,      -8.037682595,      -8.226210684,      -8.598307652,      -7.325456377
          0,           0,         122,       -8.07144246,      -8.248628007,      -8.625954752,      -7.367194457
          0,           0,         123,      -8.102437885,      -8.265998812,      -8.658421308,      -7.396002755
          0,           0,         124,         -8.129978,      -8.282383219,      -8.690160226,      -7.416523479
          0,           0,         125,      -8.174621571,      -8.313881295,      -8.722341012,      -7.468214901
          0,           0,         126,      -8.214020258,      -8.343000691,      -8.767503952,      -7.506221028
          0,           0,         127,      -8.249741243,      -8.370441699,      -8.803416363,      -7.535440213
          0,           0,         128,      -8.298773943,      -8.409306663,        -8.8432009,      -7.591242583
          0,           0,         129,        -8.3427249,      -8.446203358,      -8.888516736,      -7.633880394
          0,           0,         130,      -8.380844066,       -8.48129846,      -8.931412237,      -7.665983307
          0,           0,         131,      -8.432288492,      -8.524706127,      -8.971164201,      -7.723999719
          0,           0,         132,      -8.478925084,      -8.567071431,      -9.022152049,      -7.769443212
          0,           0,         133,        -8.5227185,      -8.607379966,      -9.067175308,      -7.807111555
          0,           0,         134,      -8.578541808,      -8.654688188,      -9.112500273,      -7.869377598
          0,           0,         135,      -8.632224345,      -8.700894715,      -9.166381237,      -7.921765515
          0,           0,         136,       -8.68500217,      -8.746760366,      -9.219695515,      -7.968489797
          0,           0,         137,      -8.749485409,      -8.797306459,      -9.268548038,      -8.038707112
          0,           0,         138,      -8.812974759,      -8.848611835,      -9.328823969,       -8.10106276
          0,           0,         139,       -8.87895937,      -8.899894453,       -9.39045451,       -8.16108425
          0,           0,         140,      -8.954743888,      -8.955422037,      -9.445310753,      -8.241727918
          0,           0,         141,      -9.035125836,      -9.012644417,      -9.512387015,      -8.320834651
          0,           0,         142,      -9.125168722,      -9.073026429,      -9.582574143,      -8.404741908
          0,           0,         143,      -9.221916093,      -9.133878721,      -9.641421106,      -8.504484872
          0,           0,         144,      -9.327380143,      -9.199629534,      -9.713153905,      -8.608532864
          0,           0,         145,       -9.44672424,      -9.266616146,       -9.78502662,      -8.722028307
