,Points_1,Pressure,,,,,,,,,,,,,,,r,v,q
1,-0.041283,123239,,,,,0,-0.770546119,,,,,,,,,,,
1,-0.0412612,123260,,,,,0.000132068,-0.771284527,,,,,,,,,,,
1,-0.0411447,117554,,,,,0.000837842,-0.570648579,,,,,,,,,,,
1,-0.0408845,118785,,,,,0.002414171,-0.613933341,,,,,,,,,,,
1,-0.0404199,120432,,,,,0.005228786,-0.67184561,,,,,,,,,,,
1,-0.0396835,110943,,,,,0.009690005,-0.338190772,,,,,,,,,,,
1,-0.0386735,110205,,,,,0.015808732,-0.312241012,,,,,,,,,,,
1,-0.0373563,103973,,,,,0.023788522,-0.093109707,,,,,,,,,,,
1,-0.0356896,101063,,,,,0.033885634,0.009212516,,,,,,,,,,,
1,-0.0336234,97593.4,,,,,0.046402976,0.13121155,,,,,,,,,,,
1,-0.0311008,96755.1,,,,,0.061685255,0.160688086,,,,,,,,,,,
1,-0.0280606,93913.3,,,,,0.080103231,0.260612242,,,,,,,,,,,
1,-0.0244406,93770.8,,,,,0.10203372,0.265622866,,,,,,,,,,,
1,-0.0201819,92228.9,,,,,0.127833546,0.31983958,,,,,,,,,,,
1,-0.0152348,92585.2,,,,,0.157803801,0.307311261,,,,,,,,,,,
1,-0.00956629,92287.7,,,,,0.192144463,0.317772038,,,,,,,,,,,
1,-0.0031673,92140.2,,,,,0.230910479,0.322958474,,,,,,,,,,,
1,0.00393963,93025.6,,,,,0.273965299,0.291825795,,,,,,,,,,,
1,0.0116947,93180.3,,,,,0.320946646,0.28638619,,,,,,,,,,,
1,0.0199985,93934.1,,,,,0.371252279,0.259880867,,,,,,,,,,,
1,0.028714,94723.4,,,,,0.424052052,0.232127282,,,,,,,,,,,
1,0.0376738,95482.5,,,,,0.478331829,0.205435598,,,,,,,,,,,
1,0.0466918,96295.1,,,,,0.53296419,0.176862733,,,,,,,,,,,
1,0.0555782,97137.8,,,,,0.5867993,0.147231483,,,,,,,,,,,
1,0.0641548,97974.4,,,,,0.638757595,0.117814722,,,,,,,,,,,
1,0.0722684,98744.8,,,,,0.687910969,0.090725705,,,,,,,,,,,
1,0.0798004,99500.6,,,,,0.733540926,0.064150057,,,,,,,,,,,
1,0.0866709,100429,,,,,0.775163418,0.031505399,,,,,,,,,,,
1,0.0928386,101040,,,,,0.812528246,0.010021249,,,,,,,,,,,
1,0.0982966,101966,,,,,0.845593607,-0.022539019,,,,,,,,,,,
1,0.103065,103082,,,,,0.874481271,-0.061780119,,,,,,,,,,,
1,0.107186,103274,,,,,0.899446891,-0.068531276,,,,,,,,,,,
1,0.110713,105556,,,,,0.920813973,-0.14877159,,,,,,,,,,,
1,0.113707,106238,,,,,0.938952062,-0.172752263,,,,,,,,,,,
1,0.11623,105249,,,,,0.954236764,-0.137976772,,,,,,,,,,,
1,0.118344,114905,,,,,0.967043685,-0.47750371,,,,,,,,,,,
1,0.120108,107528,,,,,0.977730255,-0.218111599,,,,,,,,,,,
1,0.121572,117231,,,,,0.986599381,-0.559291164,,,,,,,,,,,
1,0.122784,133272,,,,,0.993941854,-1.123329236,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
