"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         209,      -2.474686539,      -2.457515152,      -2.984868523
          0,           0,         210,      -2.474686038,      -2.457515591,      -2.984866137
          0,           0,         211,      -2.474686473,       -2.45751546,      -2.984867023
          0,           0,         212,      -2.474685933,      -2.457515241,       -2.98486749
          0,           0,         213,      -2.474689228,      -2.457517428,      -2.984860868
          0,           0,         214,      -2.474686169,      -2.457514936,      -2.984869779
          0,           0,         215,      -2.474689408,      -2.457517526,       -2.98485486
          0,           0,         216,      -2.474684221,      -2.457514675,      -2.984858863
          0,           0,         217,      -2.474686521,      -2.457515479,      -2.984849329
          0,           0,         218,      -2.474682466,      -2.457513839,      -2.984848377
          0,           0,         219,      -2.474686776,      -2.457516505,      -2.984833133
          0,           0,         220,      -2.474686463,      -2.457515731,      -2.984839935
          0,           0,         221,      -2.474679116,      -2.457511943,       -2.98483463
          0,           0,         222,      -2.474686119,      -2.457515635,      -2.984812325
          0,           0,         223,      -2.474681945,       -2.45751348,      -2.984816621
          0,           0,         224,      -2.474681505,      -2.457512816,      -2.984809727
          0,           0,         225,      -2.474681869,      -2.457513362,      -2.984806832
          0,           0,         226,      -2.474680601,      -2.457512843,      -2.984805447
          0,           0,         227,      -2.474679921,      -2.457512112,      -2.984805987
          0,           0,         228,      -2.474682434,      -2.457513497,      -2.984802391
          0,           0,         229,      -2.474676273,      -2.457510285,      -2.984800951
          0,           0,         230,      -2.474678886,      -2.457511063,      -2.984793253
          0,           0,         231,        -2.4746797,      -2.457511702,      -2.984793686
          0,           0,         232,       -2.47468058,      -2.457512193,      -2.984792495
          0,           0,         233,      -2.474681429,      -2.457512889,      -2.984792111
          0,           0,         234,      -2.474680913,       -2.45751313,       -2.98479056
          0,           0,         235,      -2.474680684,      -2.457512485,        -2.9847929
          0,           0,         236,      -2.474677088,      -2.457510981,      -2.984789629
          0,           0,         237,      -2.474682056,      -2.457513494,      -2.984780165
          0,           0,         238,      -2.474681427,      -2.457512338,      -2.984789315
          0,           0,         239,      -2.474681226,      -2.457512268,       -2.98478621
          0,           0,         240,      -2.474679095,      -2.457512287,      -2.984780873
          0,           0,         241,      -2.474677717,      -2.457510919,      -2.984781452
          0,           0,         242,       -2.47468186,      -2.457513299,      -2.984773141
          0,           0,         243,      -2.474682468,      -2.457513985,       -2.98477401
          0,           0,         244,      -2.474682413,      -2.457513717,      -2.984774765
          0,           0,         245,      -2.474676381,      -2.457511667,       -2.98476809
          0,           0,         246,      -2.474674524,       -2.45750958,      -2.984764453
          0,           0,         247,      -2.474676455,      -2.457510415,      -2.984761321
          0,           0,         248,      -2.474679624,      -2.457511691,      -2.984761915
          0,           0,         249,      -2.474676121,      -2.457510282,      -2.984762429
          0,           0,         250,      -2.474679132,      -2.457511911,       -2.98475425
          0,           0,         251,      -2.474677502,      -2.457509779,      -2.984764129
          0,           0,         252,      -2.474677702,       -2.45751051,      -2.984756659
          0,           0,         253,      -2.474680126,      -2.457512772,      -2.984748948
          0,           0,         254,      -2.474678051,      -2.457511247,      -2.984754423
          0,           0,         255,      -2.474674737,      -2.457509113,      -2.984753161
          0,           0,         256,      -2.474675185,      -2.457509745,       -2.98474627
          0,           0,         257,       -2.47467986,      -2.457512828,      -2.984736879
          0,           0,         258,      -2.474674703,      -2.457510389,      -2.984738762
          0,           0,         259,      -2.474679686,      -2.457512873,      -2.984723313
          0,           0,         260,      -2.474671023,      -2.457507721,      -2.984723429
          0,           0,         261,      -2.474672023,      -2.457507324,      -2.984711472
          0,           0,         262,      -2.474672312,      -2.457508036,      -2.984706638
          0,           0,         263,      -2.474670897,      -2.457507457,      -2.984703574
          0,           0,         264,      -2.474677298,      -2.457511882,      -2.984684113
          0,           0,         265,      -2.474672666,      -2.457508743,      -2.984692209
          0,           0,         266,      -2.474671925,      -2.457507823,      -2.984686554
          0,           0,         267,      -2.474674389,      -2.457509325,      -2.984681783
          0,           0,         268,      -2.474671182,      -2.457507298,      -2.984685292
          0,           0,         269,      -2.474669137,      -2.457506068,      -2.984680496
          0,           0,         270,      -2.474672918,        -2.4575081,      -2.984674956
          0,           0,         271,      -2.474670569,       -2.45750644,      -2.984680024
          0,           0,         272,      -2.474670682,      -2.457505978,      -2.984678432
          0,           0,         273,      -2.474670938,      -2.457507042,      -2.984673145
          0,           0,         274,      -2.474671673,      -2.457507851,      -2.984670555
          0,           0,         275,      -2.474668386,       -2.45750642,      -2.984668705
          0,           0,         276,      -2.474671645,      -2.457507992,      -2.984663287
          0,           0,         277,      -2.474669235,      -2.457506627,      -2.984666328
          0,           0,         278,      -2.474670956,      -2.457507462,      -2.984661603
