"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,         127,      -7.801895931,      -7.443540553,      -8.137972474,      -8.234587091
          0,           0,         128,      -7.826942782,      -7.466522022,      -8.160399375,      -8.259539963
          0,           0,         129,      -7.853790209,      -7.491662663,      -8.184651066,      -8.286605491
          0,           0,         130,      -7.882282186,       -7.51889359,       -8.21067941,      -8.315746245
          0,           0,         131,      -7.912269933,      -7.548150293,      -8.238426585,      -8.346923595
          0,           0,         132,      -7.943620611,      -7.579372653,      -8.267820915,      -8.380097525
          0,           0,         133,      -7.976223431,      -7.612505106,      -8.298770745,      -8.415226415
          0,           0,         134,      -8.009992888,      -7.647497123,      -8.331159919,      -8.452266793
          0,           0,         135,      -8.044868969,      -7.684303981,      -8.364846233,      -8.491172816
          0,           0,         136,      -8.080814243,      -7.722887545,       -8.39966245,       -8.53189479
          0,           0,         137,      -8.117807617,      -7.763216447,      -8.435418566,      -8.574375341
          0,           0,         138,      -8.155834258,      -7.805264645,      -8.471903477,      -8.618541162
          0,           0,         139,      -8.194870596,      -7.849006753,      -8.508884255,      -8.664288039
          0,           0,         140,      -8.234863065,      -7.894408139,      -8.546103221,      -8.711458177
          0,           0,         141,       -8.27570037,      -7.941408205,      -8.583276841,       -8.75981266
          0,           0,         142,      -8.317182765,      -7.989896989,      -8.620102502,      -8.809006199
          0,           0,         143,      -8.358996415,       -8.03968674,      -8.656274127,      -8.858568976
          0,           0,         144,      -8.400702034,      -8.090478536,      -8.691500124,      -8.907888478
          0,           0,         145,      -8.441742714,      -8.141819878,      -8.725519028,      -8.956180148
          0,           0,         146,      -8.481470233,      -8.193047856,       -8.75810911,      -9.002456755
          0,           0,         147,      -8.519186021,      -8.243218129,      -8.789081577,      -9.045532967
          0,           0,         148,      -8.554193432,      -8.291037832,      -8.818279289,      -9.084105274
          0,           0,         149,      -8.585861421,      -8.334856791,      -8.845619097,      -9.116932183
          0,           0,         150,      -8.613695036,      -8.372805663,      -8.871122161,      -9.143099558
          0,           0,         151,      -8.637397139,      -8.403147336,      -8.894870269,      -9.162268959
          0,           0,         152,      -8.656911717,      -8.424789517,      -8.916927169,      -9.174776266
