Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus,,
41,0.996765,0,79.4494,0,8.56E-08,0,0,0,0,0,0,0.912486,-0.0117715,0,0.912562,31.7798,0.0674523,0.00365448,0.000466105,0,0.00368408,1.00431,0,0,0,0,0.409187,,
42,0.996712,0,79.4438,0,8.56E-08,0,0,0,0,0,0,0.908605,-0.0122654,0,0.908688,31.7775,0.0629631,0.0036695,0.000465879,0,0.00369896,1.00429,0,0,0,0,0.409956,,
43,0.996659,0,79.4381,0,8.56E-08,0,0,0,0,0,0,0.904609,-0.0127716,0,0.904699,31.7753,0.0584545,0.00368418,0.000465542,0,0.00371348,1.00428,0,0,0,0,0.410706,,
44,0.996606,0,79.4325,0,8.56E-08,0,0,0,0,0,0,0.900496,-0.01329,0,0.900594,31.773,0.0539278,0.00369863,0.000465109,0,0.00372776,1.00426,0,0,0,0,0.411442,,
45,0.996553,0,79.4268,0,8.56E-08,0,0,0,0,0,0,0.896265,-0.0138209,0,0.896371,31.7707,0.0493867,0.0037129,0.000464585,0,0.00374185,1.00424,0,0,0,0,0.412168,,
46,0.996499,0,79.4211,0,8.56E-08,0,0,0,0,0,0,0.891912,-0.0143641,0,0.892028,31.7684,0.0448277,0.00372684,0.00046395,0,0.0037556,1.00422,0,0,0,0,0.412875,,
47,0.996445,0,79.4154,0,8.56E-08,0,0,0,0,0,0,0.887437,-0.0149199,0,0.887562,31.7662,0.0402518,0.00374068,0.000463234,0,0.00376925,1.0042,0,0,0,0,0.413576,,
48,0.996391,0,79.4097,0,8.56E-08,0,0,0,0,0,0,0.882836,-0.0154881,0,0.882972,31.7639,0.0356589,0.0037542,0.000462407,0,0.00378257,1.00419,0,0,0,0,0.41426,,
49,0.996336,0,79.4039,0,8.56E-08,0,0,0,0,0,0,0.878108,-0.0160688,0,0.878255,31.7616,0.0310492,0.00376761,0.000461496,0,0.00379577,1.00417,0,0,0,0,0.414937,,
50,0.996282,0,79.3981,0,8.56E-08,0,0,0,0,0,0,0.873252,-0.016662,0,0.873411,31.7592,0.0264225,0.00378077,0.000460481,0,0.0038087,1.00415,0,0,0,0,0.4156,,
51,0.996227,0,79.3923,0,8.56E-08,0,0,0,0,0,0,0.868265,-0.0172677,0,0.868437,31.7569,0.0217793,0.0037938,0.000459379,0,0.00382151,1.00413,0,0,0,0,0.416256,,
52,0.996172,0,79.3865,0,8.56E-08,0,0,0,0,0,0,0.863146,-0.0178858,0,0.863331,31.7546,0.0171191,0.0038066,0.000458175,0,0.00383407,1.00411,0,0,0,0,0.416899,,
53,0.996117,0,79.3806,0,8.56E-08,0,0,0,0,0,0,0.857893,-0.0185162,0,0.858092,31.7523,0.0124421,0.0038193,0.000456885,0,0.00384653,1.00409,0,0,0,0,0.417536,,
54,0.996062,0,79.3748,0,8.56E-08,0,0,0,0,0,0,0.852504,-0.0191588,0,0.852719,31.7499,0.00774841,0.00383177,0.000455492,0,0.00385875,1.00408,0,0,0,0,0.418161,,
55,0.996006,0,79.3689,0,8.56E-08,0,0,0,0,0,0,0.846979,-0.0198135,0,0.847211,31.7476,0.00303825,0.00384416,0.000454013,0,0.00387088,1.00406,0,0,0,0,0.418781,,
56,0.995951,0,79.363,0,8.56E-08,0,0,0,0,0,0,0.841316,-0.0204802,0,0.841565,31.7452,-0.00168896,0.00385634,0.000452433,0,0.00388279,1.00404,0,0,0,0,0.419389,,
57,0.995895,0,79.357,0,8.56E-08,0,0,0,0,0,0,0.835514,-0.0211586,0,0.835782,31.7428,-0.00643298,0.00386842,0.000450763,0,0.00389459,1.00402,0,0,0,0,0.419991,,
58,0.995839,0,79.3511,0,8.56E-08,0,0,0,0,0,0,0.829572,-0.0218486,0,0.82986,31.7404,-0.0111945,0.00388035,0.000448996,0,0.00390624,1.004,0,0,0,0,0.420585,,
59,0.995783,0,79.3451,0,8.56E-08,0,0,0,0,0,0,0.82349,-0.0225499,0,0.823798,31.738,-0.0159745,0.00389215,0.000447134,0,0.00391775,1.00398,0,0,0,0,0.421172,,
60,0.995727,0,79.3391,0,8.56E-08,0,0,0,0,0,0,0.817266,-0.0232624,0,0.817597,31.7356,-0.0207735,0.00390383,0.000445176,0,0.00392913,1.00396,0,0,0,0,0.421752,,
61,0.995671,0,79.3331,0,8.56E-08,0,0,0,0,0,0,0.8109,-0.0239856,0,0.811255,31.7332,-0.0255921,0.00391537,0.000443119,0,0.00394037,1.00394,0,0,0,0,0.422325,,
62,0.995615,0,79.327,0,8.56E-08,0,0,0,0,0,0,0.804393,-0.0247193,0,0.804772,31.7308,-0.030431,0.00392681,0.000440966,0,0.00395149,1.00392,0,0,0,0,0.422892,,
63,0.995558,0,79.321,0,8.56E-08,0,0,0,0,0,0,0.797743,-0.0254631,0,0.798149,31.7284,-0.035291,0.00393812,0.000438712,0,0.00396248,1.0039,0,0,0,0,0.423451,,
64,0.995502,0,79.3149,0,8.56E-08,0,0,0,0,0,0,0.790952,-0.0262166,0,0.791386,31.7259,-0.040173,0.00394933,0.000436357,0,0.00397336,1.00388,0,0,0,0,0.424005,,
65,0.995445,0,79.3087,0,8.56E-08,0,0,0,0,0,0,0.784019,-0.0269795,0,0.784483,31.7235,-0.0450782,0.00396042,0.000433899,0,0.00398412,1.00386,0,0,0,0,0.424553,,
66,0.995388,0,79.3026,0,8.56E-08,0,0,0,0,0,0,0.776945,-0.0277512,0,0.77744,31.721,-0.0500072,0.0039714,0.000431336,0,0.00399476,1.00384,0,0,0,0,0.425094,,
