"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         119,      -4.480773649,      -3.680346868,      -3.713406694,      -2.435792967,      -10.67849143
          0,           0,         120,      -4.477396285,      -3.676609893,      -3.711348157,      -2.432515944,      -10.67113234
          0,           0,         121,      -4.474087293,      -3.672918728,      -3.709268465,      -2.429308085,      -10.66391807
          0,           0,         122,      -4.470845493,      -3.669294123,      -3.707168699,      -2.426166933,      -10.65684812
          0,           0,         123,      -4.467670146,      -3.665759118,       -3.70505356,      -2.423090509,       -10.6498202
          0,           0,         124,      -4.464559956,      -3.662333572,      -3.702932739,       -2.42007624,      -10.64288418
          0,           0,         125,      -4.461513259,      -3.659034555,      -3.700815316,      -2.417121262,      -10.63610531
          0,           0,         126,      -4.458527797,      -3.655872449,      -3.698712108,      -2.414222405,      -10.62947161
          0,           0,         127,      -4.455600757,      -3.652853274,      -3.696634045,      -2.411376478,      -10.62293296
          0,           0,         128,      -4.452728187,      -3.649975377,      -3.694590092,      -2.408579568,      -10.61647876
          0,           0,         129,      -4.449905607,      -3.647227873,      -3.692585928,      -2.405827605,      -10.61017837
          0,           0,         130,      -4.447127288,      -3.644590635,      -3.690623082,      -2.403115561,      -10.60399233
          0,           0,         131,      -4.444387101,      -3.642036296,      -3.688696973,      -2.400438477,      -10.59793322
          0,           0,         132,      -4.441678674,      -3.639532677,      -3.686797423,      -2.397791534,      -10.59195602
          0,           0,         133,      -4.438995422,      -3.637043183,      -3.684909168,      -2.395169788,      -10.58609497
          0,           0,         134,      -4.436331233,      -3.634526763,      -3.683012212,      -2.392568735,       -10.5803588
          0,           0,         135,       -4.43368107,      -3.631943276,      -3.681081715,      -2.389984865,       -10.5747302
          0,           0,         136,      -4.431040941,       -3.62925795,      -3.679089722,      -2.387415441,      -10.56918459
          0,           0,         137,      -4.428408118,      -3.626438345,      -3.677008871,      -2.384858622,      -10.56376839
          0,           0,         138,       -4.42578167,      -3.623461024,      -3.674811881,       -2.38231402,      -10.55841248
          0,           0,         139,      -4.423162295,      -3.620311451,      -3.672474501,      -2.379782311,      -10.55319143
          0,           0,         140,      -4.420552219,      -3.616986693,      -3.669977335,      -2.377265274,      -10.54803911
          0,           0,         141,      -4.417954756,       -3.61349136,      -3.667309066,      -2.374765377,      -10.54303785
          0,           0,         142,       -4.41537438,      -3.609840542,      -3.664464854,      -2.372285822,      -10.53813245
          0,           0,         143,       -4.41281565,      -3.606059875,      -3.661447163,      -2.369829561,      -10.53330813
          0,           0,         144,      -4.410283188,      -3.602179296,      -3.658267855,      -2.367399513,      -10.52861102
          0,           0,         145,      -4.407781287,      -3.598231397,      -3.654947644,      -2.364998358,      -10.52399476
          0,           0,         146,      -4.405312853,      -3.594253453,      -3.651512088,      -2.362627367,      -10.51952846
          0,           0,         147,       -4.40287938,      -3.590282221,       -3.64799185,      -2.360286516,      -10.51514519
          0,           0,         148,       -4.40048049,       -3.58634978,      -3.644420976,       -2.35797422,      -10.51086166
          0,           0,         149,      -4.398113844,      -3.582483596,      -3.640835218,      -2.355687268,      -10.50668327
          0,           0,         150,       -4.39577486,      -3.578705945,      -3.637269607,      -2.353420596,      -10.50261693
          0,           0,         151,       -4.39345678,      -3.575033351,      -3.633756493,      -2.351167333,      -10.49865301
          0,           0,         152,      -4.391150957,      -3.571474434,      -3.630324486,      -2.348919106,      -10.49478904
          0,           0,         153,      -4.388846859,      -3.568030582,      -3.626996809,       -2.34666583,      -10.49102667
          0,           0,         154,      -4.386532436,      -3.564695406,      -3.623791768,      -2.344396085,      -10.48736193
          0,           0,         155,      -4.384194845,      -3.561458202,      -3.620721165,      -2.342098062,      -10.48378691
          0,           0,         156,      -4.381820716,      -3.558304633,      -3.617790394,      -2.339759514,      -10.48031084
          0,           0,         157,      -4.379396701,       -3.55521694,      -3.614998673,      -2.337368065,      -10.47693011
          0,           0,         158,      -4.376909842,      -3.552174879,       -3.61233968,        -2.3349115,      -10.47363935
          0,           0,         159,       -4.37434829,      -3.549158853,      -3.609802938,      -2.332378654,      -10.47043805
          0,           0,         160,      -4.371701961,      -3.546151799,      -3.607374388,      -2.329760076,      -10.46730357
          0,           0,         161,      -4.368962757,      -3.543140656,      -3.605037073,      -2.327047904,      -10.46424738
          0,           0,         162,      -4.366124878,      -3.540116249,      -3.602772724,      -2.324236088,      -10.46129824
          0,           0,         163,      -4.363185358,      -3.537075506,      -3.600562986,      -2.321321093,      -10.45842183
          0,           0,         164,      -4.360144207,      -3.534020351,      -3.598391642,      -2.318302112,       -10.4556312
          0,           0,         165,      -4.357004722,      -3.530959465,      -3.596244887,      -2.315181412,      -10.45291158
          0,           0,         166,      -4.353773343,      -3.527907047,      -3.594111774,      -2.311964051,      -10.45027645
          0,           0,         167,      -4.350459558,      -3.524882831,      -3.591985457,      -2.308657904,      -10.44772337
          0,           0,         168,      -4.347075733,      -3.521909902,        -3.5898637,      -2.305273674,      -10.44522587
          0,           0,         169,      -4.343636811,      -3.519012007,      -3.587749541,      -2.301824675,      -10.44283463
          0,           0,         170,      -4.340159823,      -3.516213872,      -3.585650142,      -2.298326489,       -10.4405193
          0,           0,         171,      -4.336663155,       -3.51353902,       -3.58357567,      -2.294796234,      -10.43828069
          0,           0,         172,      -4.333165912,      -3.511008716,      -3.581539011,       -2.29125206,      -10.43609502
          0,           0,         173,      -4.329687089,      -3.508638793,      -3.579554496,      -2.287712463,      -10.43397507
          0,           0,         174,      -4.326244728,      -3.506437173,      -3.577636822,      -2.284195478,      -10.43195332
          0,           0,         175,      -4.322855266,      -3.504405224,      -3.575798539,      -2.280718142,      -10.43000953
          0,           0,         176,      -4.319532661,      -3.502537188,      -3.574048425,      -2.277295597,      -10.42808979
          0,           0,         177,      -4.316287873,      -3.500819033,      -3.572390853,       -2.27394055,      -10.42617846
          0,           0,         178,      -4.313128405,      -3.499228627,      -3.570824014,      -2.270662798,      -10.42432981
          0,           0,         179,      -4.310058206,      -3.497734716,      -3.569339536,      -2.267469005,      -10.42256855
          0,           0,         180,      -4.307077883,      -3.496301939,      -3.567920596,      -2.264362906,      -10.42087004
          0,           0,         181,      -4.304184928,       -3.49489149,      -3.566543288,      -2.261345344,      -10.41910894
          0,           0,         182,       -4.30137444,      -3.493463251,      -3.565176693,      -2.258414795,      -10.41733824
          0,           0,         183,      -4.298639879,      -3.491977863,      -3.563783934,      -2.255567926,      -10.41562432
          0,           0,         184,      -4.295974289,      -3.490398411,      -3.562323891,      -2.252800636,      -10.41394497
          0,           0,         185,      -4.293371278,      -3.488695622,      -3.560753155,       -2.25010892,      -10.41219676
          0,           0,         186,      -4.290826219,      -3.486849292,      -3.559029198,      -2.247489899,      -10.41043052
          0,           0,         187,      -4.288336986,      -3.484848821,      -3.557112906,      -2.244942362,      -10.40866958
          0,           0,         188,      -4.285904986,      -3.482694378,      -3.554971429,      -2.242467797,      -10.40691616
          0,           0,         189,      -4.283535262,      -3.480395216,      -3.552580535,       -2.24007042,      -10.40508115
          0,           0,         190,      -4.281237022,      -3.477971496,      -3.549926434,      -2.237757838,      -10.40315908
          0,           0,         191,      -4.279022825,      -3.475451321,      -3.547007834,      -2.235540353,      -10.40122534
          0,           0,         192,      -4.276908542,      -3.472868393,      -3.543836413,       -2.23343101,      -10.39931403
          0,           0,         193,      -4.274911699,      -3.470258992,      -3.540436028,       -2.23144414,      -10.39736444
          0,           0,         194,      -4.273050934,      -3.467658883,      -3.536841664,      -2.229594954,      -10.39535102
          0,           0,         195,      -4.271344348,      -3.465102303,      -3.533097756,      -2.227898247,      -10.39329939
          0,           0,         196,      -4.269808272,       -3.46261977,      -3.529256328,      -2.226367305,      -10.39127172
          0,           0,         197,      -4.268456078,      -3.460236187,      -3.525374052,      -2.225012804,      -10.38926832
          0,           0,         198,      -4.267296656,      -3.457968155,      -3.521509877,      -2.223841385,      -10.38724033
          0,           0,         199,      -4.266333985,      -3.455825856,       -3.51772302,      -2.222855368,      -10.38513882
